dt,num_mentions
"2009-12-26","2"
"2011-3-25","24"
"2008-11-6","4"
"2017-1-3","66"
"2018-2-22","139"
"2014-1-21","89"
"2016-5-21","47"
"2017-8-4","104"
"2018-11-25","99"
"2015-4-11","44"
"2013-6-21","63"
"2013-6-11","86"
"2011-7-18","27"
"2015-2-25","87"
"2015-6-29","79"
"2019-4-1","133"
"2019-2-14","124"
"2009-5-29","10"
"2011-6-23","20"
"2018-12-15","75"
"2018-12-6","149"
"2013-11-15","69"
"2019-5-10","129"
"2010-1-9","7"
"2014-11-5","79"
"2015-9-23","79"
"2015-6-14","47"
"2017-3-5","68"
"2014-7-9","74"
"2012-6-2","18"
"2011-1-8","8"
"2018-9-6","129"
"2014-3-7","81"
"2008-9-25","1"
"2011-5-10","39"
"2010-3-10","12"
"2011-9-13","24"
"2014-12-4","71"
"2016-8-27","37"
"2009-1-19","4"
"2017-7-27","120"
"2013-6-26","81"
"2011-7-23","9"
"2011-12-12","25"
"2017-8-19","68"
"2015-11-15","52"
"2010-10-17","9"
"2017-10-29","72"
"2016-6-7","101"
"2013-5-14","75"
"2018-11-11","82"
"2017-12-10","71"
"2013-7-2","67"
"2015-10-10","59"
"2018-9-26","131"
"2012-8-23","55"
"2012-11-29","61"
"2014-2-20","87"
"2018-4-9","97"
"2012-4-17","38"
"2014-11-10","67"
"2011-1-2","9"
"2018-6-11","125"
"2011-1-26","22"
"2018-8-30","136"
"2018-1-21","66"
"2009-8-25","7"
"2009-7-3","6"
"2013-10-23","70"
"2011-3-12","24"
"2012-8-16","37"
"2010-2-11","12"
"2016-2-23","98"
"2014-5-17","40"
"2013-3-1","62"
"2011-1-18","18"
"2013-5-7","67"
"2011-12-29","24"
"2010-9-17","16"
"2017-9-9","62"
"2009-10-19","6"
"2014-9-17","72"
"2016-12-18","63"
"2017-5-21","54"
"2012-11-13","57"
"2013-10-20","46"
"2014-11-29","44"
"2015-2-21","64"
"2018-8-22","122"
"2018-10-25","161"
"2012-2-26","23"
"2011-6-9","24"
"2014-11-13","92"
"2010-12-20","13"
"2015-12-23","66"
"2016-11-25","69"
"2009-5-30","2"
"2010-6-14","18"
"2017-10-9","119"
"2013-7-20","31"
"2015-10-7","103"
"2015-5-5","88"
"2008-10-2","3"
"2013-10-18","63"
"2013-7-19","75"
"2011-12-25","13"
"2018-5-12","83"
"2010-2-21","8"
"2017-2-19","63"
"2017-11-11","78"
"2016-5-6","97"
"2009-1-5","4"
"2010-11-24","18"
"2016-2-7","57"
"2010-3-20","8"
"2016-9-7","90"
"2009-12-30","11"
"2015-1-12","77"
"2017-3-15","113"
"2014-4-28","61"
"2016-1-21","80"
"2014-6-24","67"
"2010-3-4","14"
"2011-11-5","16"
"2019-6-6","133"
"2012-6-10","25"
"2014-6-23","55"
"2015-10-13","81"
"2017-6-2","85"
"2010-3-23","13"
"2014-12-3","90"
"2015-6-8","83"
"2017-3-14","120"
"2012-7-17","49"
"2018-7-17","132"
"2014-1-23","84"
"2018-3-23","103"
"2010-8-31","19"
"2009-10-7","14"
"2018-1-1","51"
"2008-12-21","1"
